"","PlayerName","Assists","Goals","YellowCards","RedCards","PlayedGames","Value2017","Value2016","Value2015","Value2019","Value2018"
"1","Adam Federici",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),9e+05,9e+05,9e+05,675000,9e+05
"2","Ashley Williams",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),7200000,7200000,5850000,2250000,3150000
"3","Benik Afobe",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),9e+06,8100000,6300000,9e+06,9e+06
"4","Bojan Krkic",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),7200000,9e+05,6300000,1350000,2250000
"5","Bruno Martins Indi",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),9e+06,9e+06,10350000,7200000,9e+06
"6","Charlie Adam",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),3150000,4050000,3600000,1350000,1800000
"7","Danny Batth",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),9e+05,9e+05,9e+05,2250000,9e+05
"8","Darren Fletcher",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),1800000,1800000,1800000,1350000,1800000
"9","Jack Butland",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),13500000,8100000,3150000,16200000,19800000
"10","Jakob Haugaard",c(0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 6, 4, 0, 1, 0, 7),c(0, 1, 9, 2, 1, 0, 0, 0, 1, 0, 0, 3, 6, 0, 0, 0, 6),c(0, 7, 0, 0, 6, 4, 0, 3, 0, 0, 0, 11, 9, 0, 0, 6, 2),c(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),c(42, 48, 49, 36, 44, 23, 1, 41, 30, 44, 5, 44, 47, 2, 25, 44, 42),675000,9e+05,675000,450000,450000
